Session,Tache,Timecode,Participant,Type Intervention,discours,C1,C2,C3,Infos_supp
2,s0,2000-01-01 08:47:11,econome,feeling,joie,groupe,,,
2,s0,2000-01-01 08:47:22,presse,feeling,colere,theme,Cyril,,
2,s0,2000-01-01 08:47:50,ecolo,feeling,colere,theme,Melanie,,
2,s0,2000-01-01 08:47:53,presse,feeling,joie,theme,Melanie,,
2,s0,2000-01-01 08:48:01,ecolo,feeling,tristesse,comportement,Cyril,,
2,s0,2000-01-01 08:48:51,econome,feeling,colere,Bastien,,,
2,s0,2000-01-01 08:48:55,presse,feeling,joie,Bastien,comportement,,
2,s0,2000-01-01 08:49:10,econome,feeling,joie,Cyril,Aurore,,
2,s0,2000-01-01 08:49:30,presse,feeling,colere,comportement,Cyril,,
2,s0,2000-01-01 08:49:38,presse,feeling,tristesse,comportement,Melanie,,
2,s0,2000-01-01 08:50:44,econome,feeling,colere,Aurore,,,
2,s0,2000-01-01 08:50:59,econome,feeling,colere,theme,groupe,,
